food,ingredient
Satay daging,"Beef, sweet soy sauce, garlic, shallots, skewers,"
Sate padang,"Meat, turmeric, garlic, lemongrass, shallots, thick sauce (rice Flour-based),"
Soto,"Meat, broth (spices like turmeric, garlic, ginger), vegetables,"
Soto padang,"Beef, broth, garlic, shallots, lime leaves, vegetables,"
Talua balado,"Eggs, red chilies, garlic, shallots, tomatoes, salt,"
Terong balado,"Eggplant, red chilies, garlic, shallots, tomatoes, salt,"
Udang balado,"Shrimp, red chilies, garlic, shallots, tomatoes, lime leaves, salt,"
Galamai,"Rice Flour, palm sugar, coconut milk,"
Keripik balado,"Cassava, red chili paste, garlic, shallots, sugar, oil,"
Keripik sanjai,"Cassava, salt, oil,"
Kerupuk jangek,"Cow skin, salt, oil,"
Kue putu,"Rice Flour, pandan leaves, coconut, palm sugar,"
Lupis,"Glutinous rice, banana leaves, coconut, palm sugar,"
Peyek,"Flour, water, peanuts, garlic, coriander, salt, oil,"
Peyek udang,"Flour, water, shrimp, garlic, coriander, salt, oil,"
Pinyaram,"Rice Flour, palm sugar, coconut milk,"
Roti tisu,"Flour, water, oil or ghee,"
Serabi,"Rice Flour, coconut milk, pandan leaves,"
Tapai,"Sticky rice, yeast, banana leaves,"
Lopek sarikayo,"Glutinous rice, coconut milk, palm sugar, pandan leaves,"
Wajik,"Glutinous rice, palm sugar, coconut milk,"
Es ampiang dadiah,"Buffalo milk (fermented), shaved ice, palm sugar, rice Flour,"
Cindua,"Rice Flour jelly, lupis, durian, palm sugar, shaved ice,"
Dadiah,"Fermented buffalo milk,"
Es campur,"Mixed fruits (coconut, jackfruit), tapioca pearls, shaved ice, syrup, condensed milk,"
Es tebak,"Avocado, jackfruit, tebak, condensed milk, ice,"
Teh talua,"Tea, eggs, sugar,"
Teh tarik,"Tea, condensed milk,"
Gulai sayua,"Vegetable, coconut milk, turmeric, chilies, shallots, garlic, lemongrass, kaffir lime leaves, salt, water, oil"
Ayam kurma,"Chicken, kurma (dates), onion, garlic, ginger, lemongrass, turmeric, coriander, chili peppers, oil"
Jariang lado tomat,"Jengkol (dogfruit), tomato, chili peppers, shallots, garlic, salt, sugar, oil"
Ikan Panggang,"Fish (snapper, mackerel, or other), turmeric, garlic, shallots, red chilies, lime, salt, pepper."
Ayam Cabe Merah,"Chicken, red chilies, garlic, shallots, lemongrass, kaffir lime leaves, ginger, salt, sugar."
Sambal Teri,"Dried anchovies, red chilies, garlic, shallots, lime juice, salt, sugar."
Ayam Gulai Nangka,"Chicken, young jackfruit, coconut milk, red chilies, turmeric, galangal, lemongrass, bay leaves."
Pangek Masin,"Fish (catfish or mackerel), tamarind, coconut milk, turmeric, garlic, shallots, red chilies, salt."
Lado Ijo,"Green chilies, Garlic, Shallots, Salt, Lime juice or tamarind, Sugar (optional), Water"
Cumi Saus Padang,"Squid, Cooking oil, Garlic (minced), Shallots (sliced), Red chilies (sliced), Tomato sauce, Sweet soy sauce, Salt, Black pepper, Lime juice, Water"
Kalio Ayam,"Chicken, Coconut milk, Cooking oil, Garlic (minced), Shallots (sliced), Turmeric, Ginger (sliced), Lemongrass, Red chilies (sliced), Salt, Sugar, Water"
Kacang Tojin,"Raw peanuts, Coconut milk, Cooking oil, Salt, Sugar, Tamarind paste, Water, Chili powder (optional)"
Udang Saus Padang,"Prawns, Cooking oil, Garlic (minced), Shallots (sliced), Red chilies (sliced), Tomato sauce, Sweet soy sauce, Salt, Black pepper, Lime juice, Water"
Es Cendol,"Cendol, Coconut milk, Palm sugar, Water, Ice cubes, Pandan leaves (optional)"
